Jefferson
Cesar; Julio
Pinilla; Mauricio
de Gea; David
Casillas; Iker (c)
Reina; Pepe
Azpilicueta; Cesar
Pique; Gerard
Alba; Jordi
Juanfran
Albiol; Raul
Ramos; Sergio
Iniesta; Andres
Fabregas; Cesc
Silva; David
Martinez; Javi
Mata; Juan
Koke
Cazorla; Santi
Busquets; Sergio
Alonso; Xabi
Xavi
Villa; David
Costa; Diego
Torres; Fernando
Pedro
Cillessen; Jasper
Vorm; Michel
Krul; Tim
Martins Indi; Bruno
Blind; Daley
Janmaat; Daryl
Veltman; Joel
Verhaegh; Paul
Vlaar; Ron
de Vrij; Stefan
Kongolo; Terence
Robben; Arjen
Wijnaldum; Georginio
de Guzman; Jonathan
Clasie; Jordy
Fer; Leroy
Depay; Memphis
de Jong; Nigel
Sneijder; Wesley
Kuyt; Dirk
Lens; Jeremain
Klaas-Jan Huntelaar
van Persie; Robin  (c)
Vargas; Camilo
Ospina; David
Mondragon; Faryd
Valdes; Carlos
Zapata; Cristian
Alvarez Balanta; Eder
Camilo Zuniga; Juan
Yepes; Mario (c)
Armero; Pablo
Arias; Santiago
Aguilar; Abel
Carbonero; Carlos
Mejia; Alexander
Sanchez; Carlos
Guarin; Fredy
Rodriguez; James
Fernando Quintero; Juan
Guillermo Cuadrado; Juan
Ibarbo; Victor
Ramos; Adrian
Bacca; Carlos
Martinez; Jackson
Gutierrez; Teofilo
Barry; Boubacar
Mande; Sayouba
Gbohouo; Sylvain
Boka; Arthur
Djakpa; Constant
Zokora; Didier
Akpa-Akpro; Jean-Daniel
Toure; Kolo
Viera; Ousmane
Aurier; Serge
Bamba; Sol
Tiote; Cheick
Ya Konan; Didier
Diomande; Ismael
Die; Serey
Toure; Yaya
Drogba; Didier (c)
Gervinho
Sio; Giovanni
Bolly; Mathis
Gradel; Max
Kalou; Salomon
Bony; Wilfried
Karnezis; Orestis
Glykos; Panagiotis
Kapino; Stefanos
Maniatis; Giannis
Tzavellas; Giorgos
Holebas; Jose
Manolas; Kostas
Vyntra; Loukas
Papastathopoulos; Sokratis
Moras; Vangelis
Torosidis; Vasilis
Tziolis; Alexandros
Samaris; Andreas
Fetfatzidis; Giannis
Karagounis; Giorgos (c)
Katsouranis; Kostas
Christodoulopoulos; Lazaros
Kone; Panagiotis
Tachtsidis; Panagiotis
Salpingidis; Dimitris
Samaras; Giorgos
Mitroglou; Kostas
Gekas; Theofanis
Kawashima; Eiji
Gonda; Shichi
Nishikawa; Shusaku
Uchida; Atsuto
Sakai; Gtoku
Sakai; Hiroki
Inoha; Masahiko
Morishige; Masato
Yoshida; Maya
Konno; Yasuyuki
Nagatomo; Yuto
Kiyotake; Hiroshi
Yamaguchi; Hotaru
Honda; Keisuke
Hasebe; Makoto (c)
Kagawa; Shinji
Aoyama; Toshihiro
End; Yasuhito
Sait; Manabu
Okazaki; Shinji
Kakitani; Yoichiro
kubo; Yoshito
Osako; Yuya
Foster; Ben
Forster; Fraser
Hart; Joe
Smalling; Chris
Cahill; Gary
Johnson; Glen
Baines; Leighton
Shaw; Luke
Jagielka; Phil
Jones; Phil
Lallana; Adam
Oxlade-Chamberlain; Alex
Lampard; Frank
Wilshere; Jack
Milner; James
Henderson; Jordan
Sterling; Raheem
Barkley; Ross
Gerrard; Steven (c)
Sturridge; Daniel
Welbeck; Danny
Lambert; Rickie
Rooney; Wayne
Cambronero; Daniel
Navas; Keylor
Pemberton; Patrick
Gamboa; Cristian
Gonzalez; Giancarlo
Mora; Heiner
Acosta; Johnny
Diaz; Junior
Umana; Michael
Duarte; Oscar
Miller; Roy
Francis; Waylon
Borges; Celso
Bolanos; Christian
Calvo; Diego
Granados; Esteban
Miguel Cubero; Jose
Barrantes; Michael
Tejeda; Yeltsin
Ruiz; Bryan (c)
Campbell; Joel
Urena; Marco
Brenes; Randall
Buffon; Gianluigi (c)
Perin; Mattia
Sirigu; Salvatore
Barzagli; Andrea
Paletta; Gabriel
Chiellini; Giorgio
Abate; Ignazio
Bonucci; Leonardo
Darmian; Matteo
De Sciglio; Mattia
Aquilani; Alberto
Pirlo; Andrea
Candreva; Antonio
Marchisio; Claudio
De Rossi; Daniele
Parolo; Marco
Verratti; Marco
Motta; Thiago
Cerci; Alessio
Cassano; Antonio
Immobile; Ciro
Insigne; Lorenzo
Balotelli; Mario
Muslera; Fernando
Silva; Martin
Munoz; Rodrigo
Godin; Diego
Lugano; Diego (c)
Fucile; Jorge
Maria Gimenez; Jose
Caceres; Martin
Pereira; Maxi
Coates; Sebastian
Gonzalez; alvaro
Pereira; alvaro
Rodriguez; Cristian
Perez; Diego
Arevalo Rios; Egidio
Ramirez; Gaston
Lodeiro; Nicolas
Gargano; Walter
Hernandez; Abel
Stuani; Christian
Forlan; Diego
Cavani; Edinson
Suarez; Luis
Bone; Adrian
Dominguez; Alexander
Banguera; Maximo
Erazo; Frickson
Achilier; Gabriel
Guagua; Jorge
Carlos Paredes; Juan
Bagi; oscar
Ayovi; Walter
Valencia; Antonio (c)
Gruezo; Carlos
Noboa; Christian
Mendez; Edison
Martinez; Fidel
Montero; Jefferson
Rojas; Joao
Saritama; Luis
Arroyo; Michael
Ibarra; Renato
Castillo; Segundo
Valencia; Enner
Caicedo; Felipe
Ayovi; Jaime
Lloris; Hugo (c)
Landreau; Mickael
Ruffier; Stephane
Sagna; Bacary
Mangala; Eliaquim
Koscielny; Laurent
Digne; Lucas
Sakho; Mamadou
Debuchy; Mathieu
Evra; Patrice
Varane; Raphael
Griezmann; Antoine
Matuidi; Blaise
Schneiderlin; Morgan
Cabella; Remy
Valbuena; Mathieu
Sissoko; Moussa
Pogba; Paul
Mavuba; Rio
Cabaye; Yohan
Benzema; Karim
Remy; Loec
Giroud; Olivier
Escober; Donis
Lopez; Luis
Valladares; Noel (c)
Beckeles; Brayan
Izaguirre; Emilio
Carlos Garcia; Juan
Pablo Montes; Juan
Figueroa; Maynor
Chavez; Osman
Bernardez; Victor
Najar; Andy
Delgado; Edder
Claros; Jorge
Garrido; Luis
Martinez; Mario
Chavez; Marvin
Garcia; oscar
Espinoza; Roger
Palacios; Wilson
Costly; Carlo
Bengtson; Jerry
Palacios; Jerry
Martinez; Rony
Benaglio; Diego
Brki; Roman
Sommer; Yann
Schr; Fabian
Djourou; Johan
Lang; Michael
Senderos; Philippe
Ziegler; Reto
Rodriguez; Ricardo
Lichtsteiner; Stephan
von Bergen; Steve
Dzemaili; Blerim
Fernandes; Gelson
Inler; Gkhan (c)
Xhaka; Granit
Barnetta; Tranquillo
Stocker; Valentin
Behrami; Valon
Shaqiri; Xherdan
Mehmedi; Admir
Seferovic; Haris
Drmic; Josip
Gavranovic; Mario
Orion; Agustin
Andujar; Mariano
Romero; Sergio
Garay; Ezequiel
Fernandez; Federico
Campagnaro; Hugo
Maria Basanta; Jose
Rojo; Marcos
Demichelis; Martin
Zabaleta; Pablo
di Maria; angel
Fernandez; Augusto
Perez; Enzo
Gago; Fernando
Mascherano; Javier
Biglia; Lucas
Rodriguez; Maxi
alvarez; Ricardo
Lavezzi; Ezequiel
Higuain; Gonzalo
Messi; Lionel (c)
Palacio; Rodrigo
Agero; Sergio
Avdukic; Asmir
Begovic; Asmir
Fejzic; Jasmin
Vrsajevic; Avdija
Spahic; Emir (c)
Bicakcic; Ermin
Mujdza; Mensur
Besic; Muhamed
Vranjes; Ognjen
Kolasinac; Sead
sunjic; Toni
Hadzic; Anel
Medunjanin; Haris
Hajrovic; Izet
Pjanic; Miralem
Salihovic; Sejad
Lulic; Senad
