Rep. George Miller [D-CA11]
Rep. Gary Miller [R-CA31]
"Rep. Howard ""Buck"" McKeon [R-CA25]"
Rep. Zoe Lofgren [D-CA19]
Rep. Barbara Lee [D-CA13]
Rep. Darrell Issa [R-CA49]
"Rep. Michael ""Mike"" Honda [D-CA17]"
Rep. Sam Farr [D-CA20]
Rep. Anna Eshoo [D-CA18]
Rep. Susan Davis [D-CA53]
Rep. Lois Capps [D-CA24]
Rep. Ken Calvert [R-CA42]
Rep. Xavier Becerra [D-CA34]
Sen. Mark Udall [D-CO]
Sen. Michael Bennet [D-CO]
Rep. Cory Gardner [R-CO4]
Rep. Scott Tipton [R-CO3]
Rep. Jared Polis [D-CO2]
Rep. Mike Coffman [R-CO6]
Rep. Ed Perlmutter [D-CO7]
Rep. Doug Lamborn [R-CO5]
Rep. Diana DeGette [D-CO1]
Sen. Richard Blumenthal [D-CT]
Rep. Elizabeth Esty [D-CT5]
Rep. James Himes [D-CT4]
Sen. Christopher Murphy [D-CT]
Rep. Joe Courtney [D-CT2]
Rep. John Larson [D-CT1]
Rep. Rosa DeLauro [D-CT3]
Del. Eleanor Norton [D-DC0]
Sen. Chris Coons [D-DE]
Rep. John Carney [D-DE0]
Sen. Thomas Carper [D-DE]
Sen. Marco Rubio [R-FL]
Rep. Joe Garcia [D-FL26]
Rep. Lois Frankel [D-FL22]
Rep. Trey Radel [R-FL19]
Rep. Patrick Murphy [D-FL18]
Rep. Ron DeSantis [R-FL6]
Rep. Ted Yoho [R-FL3]
Rep. Frederica Wilson [D-FL24]
Rep. Dennis Ross [R-FL15]
Rep. Daniel Webster [R-FL10]
Rep. Richard Nugent [R-FL11]
Rep. Steve Southerland [R-FL2]
Rep. Theodore Deutch [D-FL21]
Rep. Thomas Rooney [R-FL17]
Rep. Bill Posey [R-FL8]
Rep. Alan Grayson [D-FL9]
Rep. Gus Bilirakis [R-FL12]
Rep. Vern Buchanan [R-FL16]
Rep. Kathy Castor [D-FL14]
Rep. Debbie Wasserman Schultz [D-FL23]
Sen. Bill Nelson [D-FL]
Rep. Ileana Ros-Lehtinen [R-FL27]
Rep. Jeff Miller [R-FL1]
Rep. John Mica [R-FL7]
Rep. Alcee Hastings [D-FL20]
Rep. Mario Diaz-Balart [R-FL25]
Rep. Ander Crenshaw [R-FL4]
Rep. Corrine Brown [D-FL5]
"Sen. John ""Johnny"" Isakson [R-GA]"
Sen. Saxby Chambliss [R-GA]
Rep. Doug Collins [R-GA9]
Rep. Austin Scott [R-GA8]
Rep. Rob Woodall [R-GA7]
Rep. Tom Graves [R-GA14]
Rep. Paul Broun [R-GA10]
"Rep. Henry ""Hank"" Johnson [D-GA4]"
Rep. John Barrow [D-GA12]
Rep. Lynn Westmoreland [R-GA3]
Rep. Tom Price [R-GA6]
Rep. David Scott [D-GA13]
Rep. John Lewis [D-GA5]
Rep. Jack Kingston [R-GA1]
Rep. Phil Gingrey [R-GA11]
Rep. Sanford Bishop [D-GA2]
Del. Madeleine Bordallo [D-GU0]
Sen. Brian Schatz [D-HI]
Rep. Tulsi Gabbard [D-HI2]
Rep. Colleen Hanabusa [D-HI1]
Sen. Mazie Hirono [D-HI]
"Sen. Charles ""Chuck"" Grassley [R-IA]"
"Sen. Thomas ""Tom"" Harkin [D-IA]"
Rep. David Loebsack [D-IA2]
Rep. Bruce Braley [D-IA1]
Rep. Tom Latham [R-IA3]
Rep. Steve King [R-IA4]
Sen. Michael Crapo [R-ID]
Sen. James Risch [R-ID]
Rep. Raul Labrador [R-ID1]
"Rep. Michael ""Mike"" Simpson [R-ID2]"
Sen. Mark Kirk [R-IL]
Sen. Richard Durbin [D-IL]
Rep. Cheri Bustos [D-IL17]
Rep. Rodney Davis [R-IL13]
Rep. William Enyart [D-IL12]
Rep. Bradley Schneider [D-IL10]
Rep. Tammy Duckworth [D-IL8]
Rep. Randy Hultgren [R-IL14]
Rep. Adam Kinzinger [R-IL16]
Rep. Mike Quigley [D-IL5]
Rep. Aaron Schock [R-IL18]
Rep. Bill Foster [D-IL11]
Rep. Peter Roskam [R-IL6]
Rep. Daniel Lipinski [D-IL3]
Rep. John Shimkus [R-IL15]
"Rep. Janice ""Jan"" Schakowsky [D-IL9]"
Rep. Bobby Rush [D-IL1]
Rep. Luis Gutierrez [D-IL4]
Rep. Danny Davis [D-IL7]
Rep. Robin Kelly [D-IL2]
Sen. Daniel Coats [R-IN]
Rep. Luke Messer [R-IN6]
Rep. Susan Brooks [R-IN5]
Rep. Jackie Walorski [R-IN2]
Rep. Todd Young [R-IN9]
Rep. Larry Bucshon [R-IN8]
Rep. Todd Rokita [R-IN4]
Rep. Marlin Stutzman [R-IN3]
Rep. Andre Carson [D-IN7]
Sen. Joe Donnelly [D-IN]
Rep. Peter Visclosky [D-IN1]
Sen. Jerry Moran [R-KS]
Sen. Pat Roberts [R-KS]
Rep. Mike Pompeo [R-KS4]
Rep. Kevin Yoder [R-KS3]
Rep. Tim Huelskamp [R-KS1]
Rep. Lynn Jenkins [R-KS2]
Sen. Mitch McConnell [R-KY]
Sen. Rand Paul [R-KY]
"Rep. Garland ""Andy"" Barr [R-KY6]"
Rep. Thomas Massie [R-KY4]
Rep. Brett Guthrie [R-KY2]
Rep. John Yarmuth [D-KY3]
Rep. Ed Whitfield [R-KY1]
"Rep. Harold ""Hal"" Rogers [R-KY5]"
Sen. David Vitter [R-LA]
Sen. Mary Landrieu [D-LA]
Rep. Cedric Richmond [D-LA2]
Rep. John Fleming [R-LA4]
Rep. Bill Cassidy [R-LA6]
Rep. Steve Scalise [R-LA1]
Rep. Charles Boustany [R-LA3]
Rep. Joseph Kennedy [D-MA4]
Sen. Elizabeth Warren [D-MA]
Rep. William Keating [D-MA9]
Rep. Niki Tsongas [D-MA3]
Rep. John Tierney [D-MA6]
Rep. Richard Neal [D-MA1]
"Rep. James ""Jim"" McGovern [D-MA2]"
Rep. Stephen Lynch [D-MA8]
Rep. Michael Capuano [D-MA7]
"Sen. Edward ""Ed"" Markey [D-MA]"
Sen. Barbara Mikulski [D-MD]
Rep. John Delaney [D-MD6]
Rep. Andy Harris [R-MD1]
Rep. Donna Edwards [D-MD4]
Rep. John Sarbanes [D-MD3]
Rep. Chris Van Hollen [D-MD8]
Rep. A. Dutch Ruppersberger [D-MD2]
Rep. Steny Hoyer [D-MD5]
Rep. Elijah Cummings [D-MD7]
Sen. Benjamin Cardin [D-MD]
Sen. Susan Collins [R-ME]
Sen. Angus King [I-ME]
Rep. Chellie Pingree [D-ME1]
Rep. Michael Michaud [D-ME2]
Sen. Carl Levin [D-MI]
Rep. Kerry Bentivolio [R-MI11]
Rep. Daniel Kildee [D-MI5]
Rep. Justin Amash [R-MI3]
Rep. Bill Huizenga [R-MI2]
Rep. Dan Benishek [R-MI1]
Rep. Gary Peters [D-MI14]
Rep. Tim Walberg [R-MI7]
Sen. Debbie Stabenow [D-MI]
Rep. Fred Upton [R-MI6]
Rep. Mike Rogers [R-MI8]
Rep. Candice Miller [R-MI10]
Rep. Sander Levin [D-MI9]
Rep. John Dingell [D-MI12]
Rep. John Conyers [D-MI13]
Rep. Dave Camp [R-MI4]
"Sen. Alan ""Al"" Franken [D-MN]"
Rep. Erik Paulsen [R-MN3]
Sen. Amy Klobuchar [D-MN]
Rep. Michele Bachmann [R-MN6]
Rep. Keith Ellison [D-MN5]
Rep. Timothy Walz [D-MN1]
Rep. Richard Nolan [D-MN8]
Rep. Collin Peterson [D-MN7]
Rep. Betty McCollum [D-MN4]
Rep. John Kline [R-MN2]
Sen. Roy Blunt [R-MO]
Rep. Ann Wagner [R-MO2]
Rep. Billy Long [R-MO7]
Rep. Vicky Hartzler [R-MO4]
Rep. Blaine Luetkemeyer [R-MO3]
Sen. Claire McCaskill [D-MO]
Rep. Emanuel Cleaver [D-MO5]
Rep. Sam Graves [R-MO6]
Rep. Lacy Clay [D-MO1]
Rep. Jason Smith [R-MO8]
Del. Gregorio Sablan [D-MP0]
Sen. Thad Cochran [R-MS]
Sen. Roger Wicker [R-MS]
Rep. Steven Palazzo [R-MS4]
Rep. Alan Nunnelee [R-MS1]
Rep. Gregg Harper [R-MS3]
Rep. Bennie Thompson [D-MS2]
Sen. Max Baucus [D-MT]
Rep. Steve Daines [R-MT0]
Sen. Jon Tester [D-MT]
Sen. Richard Burr [R-NC]
Sen. Kay Hagan [D-NC]
Rep. George Holding [R-NC13]
Rep. Mark Meadows [R-NC11]
Rep. Robert Pittenger [R-NC9]
Rep. Richard Hudson [R-NC8]
Rep. Renee Ellmers [R-NC2]
Rep. Patrick McHenry [R-NC10]
Rep. Virginia Foxx [R-NC5]
"Rep. George ""G.K."" Butterfield [D-NC1]"
"Rep. Melvin ""Mel"" Watt [D-NC12]"
Rep. David Price [D-NC4]
Rep. Mike McIntyre [D-NC7]
Rep. Walter Jones [R-NC3]
Rep. Howard Coble [R-NC6]
Sen. John Hoeven [R-ND]
Rep. Kevin Cramer [R-ND0]
Sen. Heidi Heitkamp [D-ND]
Sen. Mike Johanns [R-NE]
Sen. Deb Fischer [R-NE]
Rep. Adrian Smith [R-NE3]
Rep. Jeff Fortenberry [R-NE1]
Rep. Lee Terry [R-NE2]
Sen. Jeanne Shaheen [D-NH]
Sen. Kelly Ayotte [R-NH]
Rep. Ann Kuster [D-NH2]
Rep. Carol Shea-Porter [D-NH1]
Rep. Donald Payne [D-NJ10]
Rep. Jon Runyan [R-NJ3]
Rep. Leonard Lance [R-NJ7]
Rep. Albio Sires [D-NJ8]
"Rep. Christopher ""Chris"" Smith [R-NJ4]"
Rep. Bill Pascrell [D-NJ9]
Rep. Frank Pallone [D-NJ6]
"Sen. Robert ""Bob"" Menendez [D-NJ]"
Rep. Frank LoBiondo [R-NJ2]
Rep. Rush Holt [D-NJ12]
Rep. Scott Garrett [R-NJ5]
Rep. Rodney Frelinghuysen [R-NJ11]
"Rep. Robert ""Rob"" Andrews [D-NJ1]"
Sen. Cory Booker [D-NJ]
Sen. Tom Udall [D-NM]
Rep. Michelle Lujan Grisham [D-NM1]
Rep. Ben Lujan [D-NM3]
Sen. Martin Heinrich [D-NM]
"Rep. Stevan ""Steve"" Pearce [R-NM2]"
Sen. Harry Reid [D-NV]
Rep. Steven Horsford [D-NV4]
Rep. Mark Amodei [R-NV2]
Rep. Joseph Heck [R-NV3]
Rep. Dina Titus [D-NV1]
Sen. Dean Heller [R-NV]
Sen. Charles Schumer [D-NY]
Rep. Chris Collins [R-NY27]
Rep. Sean Maloney [D-NY18]
Rep. Hakeem Jeffries [D-NY8]
Rep. Grace Meng [D-NY6]
Rep. Richard Hanna [R-NY22]
Rep. Christopher Gibson [R-NY19]
Rep. Michael Grimm [R-NY11]
Rep. Tom Reed [R-NY23]
Rep. William Owens [D-NY21]
Rep. Paul Tonko [D-NY20]
Rep. Daniel Maffei [D-NY24]
Sen. Kirsten Gillibrand [D-NY]
Rep. Yvette Clarke [D-NY9]
Rep. Brian Higgins [D-NY26]
Rep. Nydia Velazquez [D-NY7]
Rep. Louise Slaughter [D-NY25]
Rep. Jose Serrano [D-NY15]
Rep. Charles Rangel [D-NY13]
Rep. Jerrold Nadler [D-NY10]
Rep. Gregory Meeks [D-NY5]
Rep. Carolyn McCarthy [D-NY4]
Rep. Carolyn Maloney [D-NY12]
Rep. Nita Lowey [D-NY17]
"Rep. Peter ""Pete"" King [R-NY2]"
Rep. Steve Israel [D-NY3]
Rep. Eliot Engel [D-NY16]
Rep. Joseph Crowley [D-NY14]
Rep. Timothy Bishop [D-NY1]
"Sen. Robert ""Rob"" Portman [R-OH]"
Rep. David Joyce [R-OH14]
Rep. Joyce Beatty [D-OH3]
Rep. Brad Wenstrup [R-OH2]
Rep. Bob Gibbs [R-OH7]
Rep. James Renacci [R-OH16]
Rep. Steve Stivers [R-OH15]
Rep. Bill Johnson [R-OH6]
Rep. Marcia Fudge [D-OH11]
Rep. Robert Latta [R-OH5]
Rep. Jim Jordan [R-OH4]
Rep. Michael Turner [R-OH10]
"Rep. Patrick ""Pat"" Tiberi [R-OH12]"
Rep. Tim Ryan [D-OH13]
Rep. Marcy Kaptur [D-OH9]
Rep. Steve Chabot [R-OH1]
Sen. Sherrod Brown [D-OH]
Rep. John Boehner [R-OH8]
"Sen. James ""Jim"" Inhofe [R-OK]"
Sen. Thomas Coburn [R-OK]
Rep. Markwayne Mullin [R-OK2]
Rep. Jim Bridenstine [R-OK1]
Rep. James Lankford [R-OK5]
Rep. Frank Lucas [R-OK3]
Rep. Tom Cole [R-OK4]
Sen. Ron Wyden [D-OR]
Sen. Jeff Merkley [D-OR]
Rep. Suzanne Bonamici [D-OR1]
Rep. Kurt Schrader [D-OR5]
Rep. Greg Walden [R-OR2]
Rep. Peter DeFazio [D-OR4]
Rep. Earl Blumenauer [D-OR3]
"Sen. Patrick ""Pat"" Toomey [R-PA]"
Rep. Matthew Cartwright [D-PA17]
Rep. Keith Rothfus [R-PA12]
Rep. Scott Perry [R-PA4]
Rep. Lou Barletta [R-PA11]
Rep. Tom Marino [R-PA10]
Rep. Patrick Meehan [R-PA7]
Rep. Mike Kelly [R-PA3]
Rep. Glenn Thompson [R-PA5]
"Sen. Robert ""Bob"" Casey [D-PA]"
Rep. Bill Shuster [R-PA9]
Rep. Charles Dent [R-PA15]
Rep. Allyson Schwartz [D-PA13]
Rep. Michael Fitzpatrick [R-PA8]
Rep. Joseph Pitts [R-PA16]
Rep. Tim Murphy [R-PA18]
Rep. Jim Gerlach [R-PA6]
Rep. Chaka Fattah [D-PA2]
"Rep. Michael ""Mike"" Doyle [D-PA14]"
Rep. Robert Brady [D-PA1]
Commish. Pedro Pierluisi [D-PR0]
"Sen. John ""Jack"" Reed [D-RI]"
Rep. David Cicilline [D-RI1]
Sen. Sheldon Whitehouse [D-RI]
"Rep. James ""Jim"" Langevin [D-RI2]"
Sen. Lindsey Graham [R-SC]
Rep. Tom Rice [R-SC7]
Rep. Mick Mulvaney [R-SC5]
Rep. Trey Gowdy [R-SC4]
Rep. Jeff Duncan [R-SC3]
Sen. Tim Scott [R-SC]
Rep. Joe Wilson [R-SC2]
"Rep. James ""Jim"" Clyburn [D-SC6]"
"Rep. Marshall ""Mark"" Sanford [R-SC1]"
Sen. Tim Johnson [D-SD]
Sen. John Thune [R-SD]
Rep. Kristi Noem [R-SD0]
Sen. Lamar Alexander [R-TN]
"Rep. John ""Jimmy"" Duncan [R-TN2]"
Rep. Stephen Fincher [R-TN8]
Rep. Diane Black [R-TN6]
Rep. Scott DesJarlais [R-TN4]
"Rep. Charles ""Chuck"" Fleischmann [R-TN3]"
"Rep. David ""Phil"" Roe [R-TN1]"
Sen. Bob Corker [R-TN]
Rep. Steve Cohen [D-TN9]
Rep. Jim Cooper [D-TN5]
Rep. Marsha Blackburn [R-TN7]
Sen. John Cornyn [R-TX]
Rep. Filemon Vela [D-TX34]
Rep. Marc Veasey [D-TX33]
Rep. Roger Williams [R-TX25]
Rep. Pete Gallego [D-TX23]
Rep. Joaquin Castro [D-TX20]
Rep. Beto O'Rourke [D-TX16]
Rep. Randy Weber [R-TX14]
Sen. Ted Cruz [R-TX]
Rep. Blake Farenthold [R-TX27]
Rep. Bill Flores [R-TX17]
Rep. Pete Olson [R-TX22]
Rep. Steve Stockman [R-TX36]
Rep. Henry Cuellar [D-TX28]
Rep. Kenny Marchant [R-TX24]
Rep. Michael Conaway [R-TX11]
Rep. Michael McCaul [R-TX10]
Rep. Al Green [D-TX9]
Rep. Ted Poe [R-TX2]
Rep. Louie Gohmert [R-TX1]
Rep. Randy Neugebauer [R-TX19]
Rep. Mac Thornberry [R-TX13]
Rep. Lamar Smith [R-TX21]
Rep. Pete Sessions [R-TX32]
Rep. Sheila Jackson Lee [D-TX18]
Rep. Eddie Johnson [D-TX30]
Rep. Sam Johnson [R-TX3]
Rep. Ruben Hinojosa [D-TX15]
Rep. Jeb Hensarling [R-TX5]
Rep. Ralph Hall [R-TX4]
Rep. Gene Green [D-TX29]
Rep. Kay Granger [R-TX12]
Rep. Lloyd Doggett [D-TX35]
Rep. John Culberson [R-TX7]
Rep. John Carter [R-TX31]
Rep. Michael Burgess [R-TX26]
Rep. Kevin Brady [R-TX8]
Rep. Joe Barton [R-TX6]
Sen. Mike Lee [R-UT]
Rep. Chris Stewart [R-UT2]
Rep. Jason Chaffetz [R-UT3]
Sen. Orrin Hatch [R-UT]
Rep. Jim Matheson [D-UT4]
Rep. Rob Bishop [R-UT1]
Sen. Mark Warner [D-VA]
Sen. Timothy Kaine [D-VA]
Rep. Morgan Griffith [R-VA9]
Rep. Robert Hurt [R-VA5]
Rep. Scott Rigell [R-VA2]
Rep. Gerald Connolly [D-VA11]
Rep. Robert Wittman [R-VA1]
Rep. Frank Wolf [R-VA10]
"Rep. Robert ""Bobby"" Scott [D-VA3]"
"Rep. James ""Jim"" Moran [D-VA8]"
Rep. Bob Goodlatte [R-VA6]
Rep. Randy Forbes [R-VA4]
Rep. Eric Cantor [R-VA7]
Del. Donna Christensen [D-VI0]
Sen. Patrick Leahy [D-VT]
Rep. Peter Welch [D-VT0]
"Sen. Bernard ""Bernie"" Sanders [I-VT]"
Sen. Patty Murray [D-WA]
Rep. Denny Heck [D-WA10]
Rep. Derek Kilmer [D-WA6]
Rep. Suzan DelBene [D-WA1]
Rep. Jaime Herrera Beutler [R-WA3]
Rep. David Reichert [R-WA8]
Rep. Cathy McMorris Rodgers [R-WA5]
Sen. Maria Cantwell [D-WA]
Rep. Adam Smith [D-WA9]
Rep. Jim McDermott [D-WA7]
Rep. Rick Larsen [D-WA2]
Rep. Doc Hastings [R-WA4]
Sen. Ron Johnson [R-WI]
Rep. Mark Pocan [D-WI2]
Rep. Reid Ribble [R-WI8]
Rep. Sean Duffy [R-WI7]
Rep. Gwen Moore [D-WI4]
Rep. James Sensenbrenner [R-WI5]
Rep. Paul Ryan [R-WI1]
"Rep. Thomas ""Tom"" Petri [R-WI6]"
Rep. Ron Kind [D-WI3]
Sen. Tammy Baldwin [D-WI]
"Sen. John ""Jay"" Rockefeller [D-WV]"
Rep. David McKinley [R-WV1]
Sen. Joe Manchin [D-WV]
Rep. Nick Rahall [D-WV3]
Rep. Shelley Capito [R-WV2]
Sen. Michael Enzi [R-WY]
Rep. Cynthia Lummis [R-WY0]
Sen. John Barrasso [R-WY]
